year,language,users,pct_respondents
2024,JavaScript,770,41.2
2024,Python,657,35.2
2024,TypeScript,595,31.8
2024,Java,1013,54.2
2024,C#,382,20.4
2024,SQL,684,36.6
2024,HTML/CSS,688,36.8
2024,Bash/Shell,433,23.2
2024,PHP,222,11.9
2024,C++,297,15.9
2024,C,1178,63.0
2024,Go,209,11.2
2024,Rust,174,9.3
2024,Kotlin,157,8.4
2024,Swift,110,5.9
2024,Ruby,77,4.1
2024,R,302,16.2
2024,Dart,104,5.6
2024,Scala,39,2.1
2024,Lua,68,3.6
2024,Perl,30,1.6
2024,Haskell,38,2.0
2024,Elixir,38,2.0
2024,Zig,33,1.8
2025,JavaScript,829,39.0
2025,Python,723,34.1
2025,TypeScript,570,26.8
2025,Java,1142,53.8
2025,C#,449,21.1
2025,SQL,715,33.7
2025,HTML/CSS,780,36.7
2025,Bash/Shell,474,22.3
2025,PHP,299,14.1
2025,C++,340,16.0
2025,C,1359,64.0
2025,Go,242,11.4
2025,Rust,199,9.4
2025,Kotlin,184,8.7
2025,Swift,141,6.6
2025,Ruby,105,4.9
2025,R,393,18.5
2025,Dart,110,5.2
2025,Scala,50,2.4
2025,Lua,55,2.6
2025,Perl,32,1.5
2025,Haskell,29,1.4
2025,Elixir,61,2.9
2025,Zig,40,1.9
2021,JavaScript,568,38.8
2021,Python,551,37.6
2021,TypeScript,422,28.8
2021,Java,787,53.8
2021,C#,302,20.6
2021,SQL,506,34.6
2021,HTML/CSS,491,33.5
2021,Bash/Shell,307,21.0
2021,PHP,203,13.9
2021,C++,243,16.6
2021,C,878,60.0
2021,Go,160,10.9
2021,Rust,145,9.9
2021,Kotlin,113,7.7
2021,Swift,94,6.4
2021,Ruby,73,5.0
2021,R,251,17.1
2021,Dart,89,6.1
2021,Scala,29,2.0
2021,Lua,35,2.4
2021,Perl,29,2.0
2021,Haskell,14,1.0
2021,Elixir,32,2.2
2021,Zig,26,1.8
2023,JavaScript,720,42.4
2023,Python,634,37.4
2023,TypeScript,486,28.6
2023,Java,968,57.0
2023,C#,377,22.2
2023,SQL,609,35.9
2023,HTML/CSS,593,34.9
2023,Bash/Shell,379,22.3
2023,PHP,205,12.1
2023,C++,257,15.1
2023,C,1060,62.5
2023,Go,204,12.0
2023,Rust,172,10.1
2023,Kotlin,143,8.4
2023,Swift,133,7.8
2023,Ruby,71,4.2
2023,R,288,17.0
2023,Dart,98,5.8
2023,Scala,39,2.3
2023,Lua,56,3.3
2023,Perl,21,1.2
2023,Haskell,30,1.8
2023,Elixir,41,2.4
2023,Zig,16,0.9
2022,JavaScript,628,40.3
2022,Python,562,36.0
2022,TypeScript,444,28.5
2022,Java,843,54.0
2022,C#,320,20.5
2022,SQL,548,35.1
2022,HTML/CSS,569,36.5
2022,Bash/Shell,330,21.2
2022,PHP,218,14.0
2022,C++,249,16.0
2022,C,969,62.1
2022,Go,178,11.4
2022,Rust,176,11.3
2022,Kotlin,131,8.4
2022,Swift,113,7.2
2022,Ruby,73,4.7
2022,R,286,18.3
2022,Dart,85,5.4
2022,Scala,49,3.1
2022,Lua,54,3.5
2022,Perl,25,1.6
2022,Haskell,39,2.5
2022,Elixir,38,2.4
2022,Zig,29,1.9
2020,JavaScript,486,40.1
2020,Python,448,36.9
2020,TypeScript,356,29.3
2020,Java,656,54.1
2020,C#,269,22.2
2020,SQL,419,34.5
2020,HTML/CSS,447,36.9
2020,Bash/Shell,285,23.5
2020,PHP,183,15.1
2020,C++,204,16.8
2020,C,770,63.5
2020,Go,148,12.2
2020,Rust,107,8.8
2020,Kotlin,82,6.8
2020,Swift,75,6.2
2020,Ruby,77,6.3
2020,R,222,18.3
2020,Dart,63,5.2
2020,Scala,42,3.5
2020,Lua,39,3.2
2020,Perl,16,1.3
2020,Haskell,10,0.8
2020,Elixir,21,1.7
2020,Zig,25,2.1
2026,JavaScript,823,39.7
2026,Python,753,36.3
2026,TypeScript,597,28.8
2026,Java,1137,54.8
2026,C#,442,21.3
2026,SQL,735,35.4
2026,HTML/CSS,758,36.5
2026,Bash/Shell,430,20.7
2026,PHP,274,13.2
2026,C++,306,14.8
2026,C,1299,62.6
2026,Go,248,12.0
2026,Rust,190,9.2
2026,Kotlin,184,8.9
2026,Swift,147,7.1
2026,Ruby,88,4.2
2026,R,335,16.2
2026,Dart,125,6.0
2026,Scala,59,2.8
2026,Lua,54,2.6
2026,Perl,36,1.7
2026,Haskell,37,1.8
2026,Elixir,57,2.7
2026,Zig,29,1.4
